primary_label,filename,scientific_name,class_name,latitude,longitude,is_ave
1139490,1139490/CSA36385.ogg,Ragoniella pulchella,Insecta,7.3206,-73.7128,False
1139490,1139490/CSA36389.ogg,Ragoniella pulchella,Insecta,7.3206,-73.7128,False
1192948,1192948/CSA36358.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1192948,1192948/CSA36366.ogg,Oxyprora surinamensis,Insecta,7.28,-73.8582,False
1192948,1192948/CSA36373.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1192948,1192948/CSA36388.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1194042,1194042/CSA18783.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
1194042,1194042/CSA18794.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
1194042,1194042/CSA18802.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
126247,126247/XC941297.ogg,Leptodactylus insularum,Amphibia,9.0465,-79.3024,False
126247,126247/iNat1109254.ogg,Leptodactylus insularum,Amphibia,9.0465,-79.3024,False
126247,126247/iNat146584.ogg,Leptodactylus insularum,Amphibia,13.3852,-81.3704,False
126247,126247/iNat320679.ogg,Leptodactylus insularum,Amphibia,13.3482,-81.3576,False
126247,126247/iNat888527.ogg,Leptodactylus insularum,Amphibia,7.4197,-80.1606,False
126247,126247/iNat888729.ogg,Leptodactylus insularum,Amphibia,7.4197,-80.1606,False
1346504,1346504/CSA18784.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18791.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18792.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18793.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18803.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
134933,134933/XC941298.ogg,Espadarana prosoblepon,Amphibia,8.626,-80.1392,False
134933,134933/iNat1108984.ogg,Espadarana prosoblepon,Amphibia,8.626,-80.1392,False
134933,134933/iNat1160199.ogg,Espadarana prosoblepon,Amphibia,8.626,-80.1392,False
134933,134933/iNat859408.ogg,Espadarana prosoblepon,Amphibia,10.3639,-84.7898,False
135045,135045/iNat1122209.ogg,Andinobates opisthomelas,Amphibia,6.8819,-75.5274,False
135045,135045/iNat1207345.ogg,Andinobates opisthomelas,Amphibia,6.0515,-75.3823,False
135045,135045/iNat1207347.ogg,Andinobates opisthomelas,Amphibia,6.0515,-75.3823,False
135045,135045/iNat1208549.ogg,Andinobates opisthomelas,Amphibia,6.0461,-75.2901,False
135045,135045/iNat1208550.ogg,Andinobates opisthomelas,Amphibia,6.0424,-75.253,False
135045,135045/iNat1208551.ogg,Andinobates opisthomelas,Amphibia,6.1436,-75.3364,False
135045,135045/iNat1208552.ogg,Andinobates opisthomelas,Amphibia,6.0055,-75.3879,False
135045,135045/iNat1208572.ogg,Andinobates opisthomelas,Amphibia,6.0106,-75.3322,False
135045,135045/iNat327127.ogg,Andinobates opisthomelas,Amphibia,6.874,-75.3888,False
135045,135045/iNat48803.ogg,Andinobates opisthomelas,Amphibia,6.1779,-75.5752,False
