primary_label,filename,scientific_name,class_name,latitude,longitude,is_mammalia
1139490,1139490/CSA36385.ogg,Ragoniella pulchella,Insecta,7.3206,-73.7128,False
1139490,1139490/CSA36389.ogg,Ragoniella pulchella,Insecta,7.3206,-73.7128,False
1192948,1192948/CSA36358.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1192948,1192948/CSA36366.ogg,Oxyprora surinamensis,Insecta,7.28,-73.8582,False
1192948,1192948/CSA36373.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1192948,1192948/CSA36388.ogg,Oxyprora surinamensis,Insecta,7.3791,-73.7313,False
1194042,1194042/CSA18783.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
1194042,1194042/CSA18794.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
1194042,1194042/CSA18802.ogg,Copiphora colombiae,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18784.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18791.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18792.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18793.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1346504,1346504/CSA18803.ogg,Neoconocephalus brachypterus,Insecta,5.7892,-73.5504,False
1462711,1462711/CSA36371.ogg,Cocconotus aratifrons,Insecta,7.2625,-73.8207,False
1462711,1462711/CSA36379.ogg,Cocconotus aratifrons,Insecta,7.3842,-73.8456,False
1462711,1462711/CSA36390.ogg,Cocconotus aratifrons,Insecta,7.3842,-73.8456,False
1462737,1462737/CSA36341.ogg,Docidocercus fasciatus,Insecta,7.32,-73.7069,False
1462737,1462737/CSA36369.ogg,Docidocercus fasciatus,Insecta,7.3509,-73.8287,False
1462737,1462737/CSA36380.ogg,Docidocercus fasciatus,Insecta,7.3842,-73.8456,False
1462737,1462737/CSA36381.ogg,Docidocercus fasciatus,Insecta,7.3842,-73.8456,False
1462737,1462737/CSA36386.ogg,Docidocercus fasciatus,Insecta,7.3842,-73.8456,False
1462737,1462737/CSA36391.ogg,Docidocercus fasciatus,Insecta,7.3842,-73.8456,False
1462737,1462737/CSA36395.ogg,Docidocercus fasciatus,Insecta,7.3206,-73.7128,False
1564122,1564122/CSA34195.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
1564122,1564122/CSA34196.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
1564122,1564122/CSA34197.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
1564122,1564122/CSA34198.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
1564122,1564122/CSA34199.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
1564122,1564122/CSA34200.ogg,Daedadelus waehnerorum ,Insecta,-3.8333,-70.3333,False
41663,41663/XC144437.ogg,Procyon lotor,Mammalia,41.1987,-73.8832,True
41663,41663/XC697007.ogg,Procyon lotor,Mammalia,49.1523,2.3752,True
41663,41663/XC961783.ogg,Procyon lotor,Mammalia,40.0038,-75.045,True
